BPID,lat,lon,NbDocks,Installed,commonName
128,51.495362,-0.185296,22,2010-07-15 11:41:00,"Emperor's Gate, South Kensington"
129,51.511897,-0.137043,18,2010-07-15 12:55:00,"Golden Square, Soho"
130,51.509506,-0.075459,24,2010-07-15 13:00:00,"Tower Gardens , Tower"
131,51.533005,-0.136792,16,2010-07-15 13:08:00,"Eversholt Street , Camden Town"
132,51.523648,-0.074754,38,2010-07-15 13:12:00,"Bethnal Green Road, Shoreditch"
133,51.501364,-0.191462,18,2010-07-15 13:24:00,"Derry Street, Kensington"
134,51.504904,-0.06797,20,2010-07-15 13:35:00,"Wapping High Street, Wapping"
135,51.52326,-0.104708,21,2010-07-15 13:38:00,"Clerkenwell Green, Clerkenwell"
136,51.511961,-0.097441,32,2010-07-15 13:40:00,"Queen Victoria Street, St. Paul's"
138,51.512276,-0.157436,19,2010-07-15 14:47:00,"Green Street, Mayfair"
139,51.494881,-0.117974,18,2010-07-15 14:51:00,"Lambeth Road, Vauxhall"
140,51.520962,-0.085634,33,2010-07-15 14:53:00,"Finsbury Square , Moorgate"
141,51.515308,-0.147203,29,2010-07-15 16:23:00,"Chapel Place, Marylebone"
142,51.493724,-0.198286,24,2010-07-15 16:27:00,"West Cromwell Road, Earl's Court"
143,51.496886,-0.16120299999999999,24,2010-07-15 16:30:00,"Pont Street, Knightsbridge"
144,51.48894,-0.11143499999999999,47,2010-07-15 16:33:00,"Kennington Cross, Kennington"
145,51.500743,-0.202759,24,2010-07-15 16:43:00,"Ilchester Place, Kensington"
146,51.488365,-0.129361,35,2010-07-15 16:46:00,"Vauxhall Bridge , Pimlico"
148,51.492111,-0.138364,16,2010-07-15 17:36:00,"Tachbrook Street, Victoria"
149,51.484788,-0.11068299999999999,18,2010-07-15 17:36:00,"Kennington Road Post Office, Oval"
150,51.497056,-0.16891699999999998,28,2010-07-15 17:39:00,"Holy Trinity Brompton, Knightsbridge"
151,51.512136,-0.20155399999999998,26,2010-07-15 17:42:00,"Chepstow Villas, Notting Hill"
152,51.49217,-0.101536,21,2010-07-15 17:45:00,"Hampton Street, Walworth"
154,51.503791,-0.112824,35,2010-07-16 09:31:00,"Waterloo Station 3, Waterloo"
155,51.495866,-0.191933,19,2010-07-16 09:31:00,"Lexham Gardens, Kensington"
156,51.494436,-0.09292099999999999,33,2010-07-16 09:38:00,"New Kent Road, The Borough"
