Station,Entry-Weekday,Entry-Saturday,Entry-Sunday,Exit-Weekday,Exit-Saturday,Exit-Sunday,Annual-e-and-e-million,Year,Entry-Weekend,Exit-Weekend,Weekend-Weekday,Latitude,Longitude,Zones,Zone,Connections
Arsenal,4923.0,4534,2807,4281.0,3508,2634,3.067815,2011,3670.5,3071.0,0.4227838575146593,51.55854138,-0.105499934,2,2,{'Piccadilly'}
Arsenal,4742.0,4306,2886,4084.0,3710,2665,2.977319,2010,3596.0,3187.5,0.43457509849770976,51.55854138,-0.105499934,2,2,{'Piccadilly'}
Baker Street,47116.0,29088,22260,44913.0,27901,20754,28.784591,2017,25674.0,24327.5,0.35204762357380986,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Baker Street,48437.0,31877,22950,46181.0,29931,21160,29.75486,2016,27413.5,25545.5,0.35885673241765315,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Baker Street,47234.0,31530,25035,45041.0,29563,23384,29.379132,2015,28282.5,26473.5,0.3724112602104318,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Baker Street,51324.0,33782,24996,50724.0,33120,23790,32.175422,2014,29389.0,28455.0,0.3617691942060891,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Baker Street,45202.0,30329,22818,43402.0,28753,21401,28.097997,2013,26573.5,25077.0,0.36826269388860966,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Baker Street,45141.0,28647,21137,43559.0,26954,19743,27.744272,2012,24892.0,23348.5,0.35227343262219724,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Baker Street,43877.0,28850,20798,41869.0,27280,19966,27.017574,2011,24824.0,23623.0,0.361024792649393,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Baker Street,43163.0,27008,19181,41273.0,25793,17554,26.275325,2010,23094.5,21673.5,0.3464908207176248,51.52312962,-0.156904194,1,1,"{'Circle', 'Metropolitan', 'Jubilee', 'Hammersmith and City', 'Bakerloo'}"
Balham,22562.0,17441,10809,22199.0,15581,10678,14.30941,2017,14125.0,13129.5,0.3784532496476453,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Balham,23274.0,17403,10833,22722.0,15852,10722,14.637993,2016,14118.0,13287.0,0.37336003596681244,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Balham,22536.0,16888,10766,21872.0,15523,10562,14.178948,2015,13827.0,13042.5,0.3769702921679352,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Balham,20943.0,16025,9930,21127.0,15518,10197,13.471439,2014,12977.5,12857.5,0.3804579927840365,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Balham,19151.0,14303,8662,18830.0,13090,8587,12.05132,2013,11482.5,10838.5,0.37015356041258995,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Balham,19022.0,14215,8657,18398.0,13029,8634,11.904117,2012,11436.0,10831.5,0.37306806282722516,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Balham,18448.0,13543,8334,17769.0,12143,7961,11.459978,2011,10938.5,10052.0,0.36691867325088495,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Balham,17506.0,12636,7474,16991.0,11724,7826,10.897161,2010,10055.0,9775.0,0.36501187254956097,51.44318256,-0.152685163,3,3,"{'Northern', 'Southern'}"
Barbican,20680.0,7416,5149,20512.0,7702,5351,11.827212,2017,6282.5,6526.5,0.23719931112386808,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
Barbican,21154.0,7092,4662,21000.0,7336,4794,11.973122,2016,5877.0,6065.0,0.22075569358178054,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
Barbican,19757.0,7755,4786,19369.0,8025,4774,11.283478,2015,6270.5,6399.5,0.24461348366669242,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
Barbican,19773.0,7124,5090,20069.0,7502,5150,11.444738,2014,6107.0,6326.0,0.23783835485413676,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
